country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","19-03-2026 16:00:00",28.498571,77.264840,SO2,11,36,17
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","19-03-2026 16:00:00",28.5627763,77.1180053,PM2.5,15,234,78
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","19-03-2026 16:00:00",28.732820,77.170633,SO2,41,53,46
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","19-03-2026 16:00:00",28.5918245,77.2273074,PM10,57,403,118
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","19-03-2026 16:00:00",28.5918245,77.2273074,CO,36,97,44
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","19-03-2026 16:00:00",28.611281,77.237738,SO2,19,53,28
India,Delhi,Delhi,"Alipur, Delhi - DPCC","19-03-2026 16:00:00",28.815329,77.153010,PM10,62,221,101
India,Delhi,Delhi,"Alipur, Delhi - DPCC","19-03-2026 16:00:00",28.815329,77.153010,OZONE,4,56,30
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","19-03-2026 16:00:00",28.636429,77.201067,NO2,29,92,61
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","19-03-2026 16:00:00",28.636429,77.201067,CO,69,98,87
India,Gujarat,Surat,"Science Center, Surat - SMC","19-03-2026 16:00:00",21.170046,72.795405,SO2,26,33,30
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","19-03-2026 16:00:00",22.320153,73.216285,OZONE,3,11,5
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","19-03-2026 16:00:00",20.362421,72.918013,NH3,3,3,3
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","19-03-2026 16:00:00",20.362421,72.918013,SO2,12,18,14
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","19-03-2026 16:00:00",22.969611,72.643500,SO2,33,41,37
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","19-03-2026 16:00:00",22.969611,72.643500,CO,12,94,38
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","19-03-2026 16:00:00",30.379589,76.778328,NH3,7,8,8
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","19-03-2026 16:00:00",30.379589,76.778328,SO2,15,32,22
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","19-03-2026 16:00:00",28.6701,76.9254,PM2.5,70,337,216
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","19-03-2026 16:00:00",28.3419248,77.319699,PM2.5,NA,NA,NA
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","19-03-2026 16:00:00",28.3419248,77.319699,PM10,NA,NA,NA
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","19-03-2026 16:00:00",29.966942,76.875879,NH3,6,7,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","19-03-2026 16:00:00",29.966942,76.875879,SO2,1,17,8
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","19-03-2026 16:00:00",27.9002,76.9938,OZONE,23,30,27
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","19-03-2026 16:00:00",28.360699,76.936090,SO2,NA,NA,NA
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","19-03-2026 16:00:00",28.060249,76.113115,NO2,45,116,63
